class_name,fold_0,mean_f1,consistency_status
CNV,0.9184975194897236,0.9184975194897236,Active (F1: 0.9185)
DRUSEN,0.8004068141367913,0.8004068141367913,Active (F1: 0.8004)
AMD,0.9571577847439916,0.9571577847439916,Active (F1: 0.9572)
General_AMD,0.9,0.9,Active (F1: 0.9000)
DME,0.8815628815628815,0.8815628815628815,Active (F1: 0.8816)
DR,0.7391304347826086,0.7391304347826086,Active (F1: 0.7391)
MH,0.9818181818181818,0.9818181818181818,Active (F1: 0.9818)
RVO,0.5283018867924528,0.5283018867924528,Active (F1: 0.5283)
RAO,0.5,0.5,Active (F1: 0.5000)
CSR,0.8695652173913043,0.8695652173913043,Active (F1: 0.8696)
ERM,0.7647058823529411,0.7647058823529411,Active (F1: 0.7647)
VID,0.8666666666666667,0.8666666666666667,Active (F1: 0.8667)
